factor_id,coverage_scope,public_geography_id,bridge_municipality,factor_municipality,factor_value,factor_match,coverage_status
age65,bridge_safe_2025_geography,35005,Gistel,Gistel,23.136056,true,matched_factor_source
age65,bridge_safe_2025_geography,35006,Ichtegem,Ichtegem,22.021661,true,matched_factor_source
age65,bridge_safe_2025_geography,35011,Middelkerke,Middelkerke,37.525537,true,matched_factor_source
age65,bridge_safe_2025_geography,35013,Oostende,Ostende,29.964384,true,matched_factor_source
age65,bridge_safe_2025_geography,35014,Oudenburg,Oudenburg,23.045267,true,matched_factor_source
age65,bridge_safe_2025_geography,35029,De Haan,De Haan,38.732061,true,matched_factor_source
age65,bridge_safe_2025_geography,36006,Hooglede,Hooglede,22.736144,true,matched_factor_source
age65,bridge_safe_2025_geography,36007,Ingelmunster,Ingelmunster,22.112664,true,matched_factor_source
age65,bridge_safe_2025_geography,36008,Izegem,Izegem,22.2626,true,matched_factor_source
age65,bridge_safe_2025_geography,36010,Ledegem,Ledegem,22.915178,true,matched_factor_source
age65,bridge_safe_2025_geography,36011,Lichtervelde,Lichtervelde,21.62963,true,matched_factor_source
age65,bridge_safe_2025_geography,36012,Moorslede,Moorslede,22.964184,true,matched_factor_source
age65,bridge_safe_2025_geography,36015,Roeselare,Roulers,21.039337,true,matched_factor_source
age65,bridge_safe_2025_geography,36019,Staden,Staden,20.92865,true,matched_factor_source
age65,bridge_safe_2025_geography,37002,Dentergem,Dentergem,21.158205,true,matched_factor_source
age65,bridge_safe_2025_geography,37010,Oostrozebeke,Oostrozebeke,21.086302,true,matched_factor_source
age65,bridge_safe_2025_geography,37011,Pittem,Pittem,23.2329,true,matched_factor_source
age65,bridge_safe_2025_geography,37017,Wielsbeke,Wielsbeke,18.381638,true,matched_factor_source
age65,bridge_safe_2025_geography,37020,Ardooie,Ardooie,24.230044,true,matched_factor_source
age65,bridge_safe_2025_geography,37021,Wingene,Wingene,21.415938,true,matched_factor_source
age65,bridge_safe_2025_geography,37022,Tielt,Tielt,23.798205,true,matched_factor_source
age65,bridge_safe_2025_geography,38002,Alveringem,Alveringem,19.367828,true,matched_factor_source
age65,bridge_safe_2025_geography,38008,De Panne,La Panne,36.743928,true,matched_factor_source
age65,bridge_safe_2025_geography,38014,Koksijde,Koksijde,46.545178,true,matched_factor_source
age65,bridge_safe_2025_geography,38016,Nieuwpoort,Nieuport,40.993789,true,matched_factor_source
age65,bridge_safe_2025_geography,38025,Veurne,Furnes,27.351165,true,matched_factor_source
age65,bridge_safe_2025_geography,41002,Aalst,Alost,20.747846,true,matched_factor_source
age65,bridge_safe_2025_geography,41011,Denderleeuw,Denderleeuw,18.395477,true,matched_factor_source
age65,bridge_safe_2025_geography,41018,Geraardsbergen,Grammont,21.885789,true,matched_factor_source
age65,bridge_safe_2025_geography,41024,Haaltert,Haaltert,22.265724,true,matched_factor_source
age65,bridge_safe_2025_geography,41027,Herzele,Herzele,21.263802,true,matched_factor_source
age65,bridge_safe_2025_geography,41034,Lede,Lede,23.013109,true,matched_factor_source
age65,bridge_safe_2025_geography,41048,Ninove,Ninove,22.483427,true,matched_factor_source
age65,bridge_safe_2025_geography,41063,Sint-Lievens-Houtem,Sint-Lievens-Houtem,21.395349,true,matched_factor_source
age65,bridge_safe_2025_geography,41081,Zottegem,Zottegem,23.748368,true,matched_factor_source
age65,bridge_safe_2025_geography,41082,Erpe-Mere,Erpe-Mere,23.36052,true,matched_factor_source
age65,bridge_safe_2025_geography,42003,Berlare,Berlare,23.229974,true,matched_factor_source
age65,bridge_safe_2025_geography,42004,Buggenhout,Buggenhout,22.870486,true,matched_factor_source
age65,bridge_safe_2025_geography,42006,Dendermonde,Termonde,22.672911,true,matched_factor_source
age65,bridge_safe_2025_geography,42008,Hamme,Hamme,21.05733,true,matched_factor_source
age65,bridge_safe_2025_geography,42010,Laarne,Laarne,24.654691,true,matched_factor_source
age65,bridge_safe_2025_geography,42011,Lebbeke,Lebbeke,20.893032,true,matched_factor_source
age65,bridge_safe_2025_geography,42023,Waasmunster,Waasmunster,21.895595,true,matched_factor_source
age65,bridge_safe_2025_geography,42025,Wetteren,Wetteren,21.654169,true,matched_factor_source
