factor_id,coverage_scope,public_geography_id,bridge_municipality,factor_municipality,factor_value,factor_match,coverage_status
population_density,bridge_safe_2025_geography,25031,Genappe,Genappe,178.8606,true,matched_factor_source
population_density,bridge_safe_2025_geography,25037,Grez-Doiceau,Grez-Doiceau,252.26,true,matched_factor_source
population_density,bridge_safe_2025_geography,25043,Incourt,Incourt,145.4194,true,matched_factor_source
population_density,bridge_safe_2025_geography,25044,Ittre,Ittre,198.7854,true,matched_factor_source
population_density,bridge_safe_2025_geography,25048,Jodoigne,Jodoigne,202.5577,true,matched_factor_source
population_density,bridge_safe_2025_geography,25050,La Hulpe,La Hulpe,482.1745,true,matched_factor_source
population_density,bridge_safe_2025_geography,25068,Mont-Saint-Guibert,Mont-Saint-Guibert,451.3342,true,matched_factor_source
population_density,bridge_safe_2025_geography,25072,Nivelles,Nivelles,483.7691,true,matched_factor_source
population_density,bridge_safe_2025_geography,25084,Perwez,Perwez,192.3782,true,matched_factor_source
population_density,bridge_safe_2025_geography,25091,Rixensart,Rixensart,1312.7474,true,matched_factor_source
population_density,bridge_safe_2025_geography,25105,Tubize,Tubize,876.2459,true,matched_factor_source
population_density,bridge_safe_2025_geography,25107,Villers-la-Ville,Villers-la-Ville,230.2477,true,matched_factor_source
population_density,bridge_safe_2025_geography,25110,Waterloo,Waterloo,1425.0803,true,matched_factor_source
population_density,bridge_safe_2025_geography,25112,Wavre,Wavre,844.8789,true,matched_factor_source
population_density,bridge_safe_2025_geography,25117,Chastre,Chastre,247.4821,true,matched_factor_source
population_density,bridge_safe_2025_geography,25118,Helecine,Hélécine,229.2943,true,matched_factor_source
population_density,bridge_safe_2025_geography,25119,Lasne,Lasne,298.0079,true,matched_factor_source
population_density,bridge_safe_2025_geography,25120,Orp-Jauche,Orp-Jauche,178.9833,true,matched_factor_source
population_density,bridge_safe_2025_geography,25121,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve,950.9534,true,matched_factor_source
population_density,bridge_safe_2025_geography,25122,Ramillies,Ramillies,136.7231,true,matched_factor_source
population_density,bridge_safe_2025_geography,25123,Rebecq,Rebecq,284.8864,true,matched_factor_source
population_density,bridge_safe_2025_geography,25124,Walhain,Walhain,198.4206,true,matched_factor_source
population_density,bridge_safe_2025_geography,31003,Beernem,Beernem,225.3229,true,matched_factor_source
population_density,bridge_safe_2025_geography,31004,Blankenberge,Blankenberge,1086.7889,true,matched_factor_source
population_density,bridge_safe_2025_geography,31005,Brugge,Bruges,851.9092,true,matched_factor_source
population_density,bridge_safe_2025_geography,31006,Damme,Damme,124.8082,true,matched_factor_source
population_density,bridge_safe_2025_geography,31012,Jabbeke,Jabbeke,277.2393,true,matched_factor_source
population_density,bridge_safe_2025_geography,31022,Oostkamp,Oostkamp,301.2989,true,matched_factor_source
population_density,bridge_safe_2025_geography,31033,Torhout,Torhout,466.8242,true,matched_factor_source
population_density,bridge_safe_2025_geography,31040,Zedelgem,Zedelgem,389.6372,true,matched_factor_source
population_density,bridge_safe_2025_geography,31042,Zuienkerke,Zuienkerke,54.3389,true,matched_factor_source
population_density,bridge_safe_2025_geography,31043,Knokke-Heist,Knokke-Heist,525.191,true,matched_factor_source
population_density,bridge_safe_2025_geography,32003,Diksmuide,Dixmude,115.0145,true,matched_factor_source
population_density,bridge_safe_2025_geography,32006,Houthulst,Houthulst,187.8753,true,matched_factor_source
