country_id,factor_id,year,reference_period,geography_version,public_geography_type,public_geography_id,municipality,refnis_label_french,refnis_label_dutch,refnis_label_german,population,age65_population,value,unit,source_name,provenance_ref,comparability_status
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,23027,Hal,Hal (Hal-Vilvorde),Halle (Halle-Vilvoorde),Halle (Halle-Vilvoorde),43131,8552,19.827966,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,23033,Hoeilaart,Hoeilaart,Hoeilaart,Hoeilaart,11521,2373,20.59717,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,23038,Kampenhout,Kampenhout,Kampenhout,Kampenhout,12600,2546,20.206349,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,23039,Kapelle-op-den-Bos,Kapelle-op-den-Bos,Kapelle-op-den-Bos,Kapelle-op-den-Bos,9848,2251,22.857433,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,23044,Liedekerke,Liedekerke,Liedekerke,Liedekerke,14113,3074,21.781336,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,23045,Londerzeel,Londerzeel,Londerzeel,Londerzeel,19598,4314,22.01245,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,23047,Machelen,Machelen (Hal-Vilvorde),Machelen (Halle-Vilvoorde),Machelen (Halle-Vilvoorde),17115,2426,14.174701,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,23050,Meise,Meise,Meise,Meise,20592,4659,22.625291,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,23052,Merchtem,Merchtem,Merchtem,Merchtem,18467,3967,21.481562,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,23060,Opwijk,Opwijk,Opwijk,Opwijk,15143,3138,20.722446,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,23062,Overijse,Overijse,Overijse,Overijse,26452,5393,20.387872,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,23064,Pepingen,Pepingen,Pepingen,Pepingen,4546,1084,23.845139,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
belgium,age65,2026,2026-01-01,statbel-refnis-2026-source,municipality,23077,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw,37055,6869,18.537309,percent,Statbel TF_SOC_POP_STRUCT_2026 social population structure,provenance/belgium_age65_manifest.json,family_mapped
