election_year,election_date,public_geography_id,ibz_municipality,ibz_label_french,ibz_label_dutch,ibz_label_german,refnis_match,refnis_code,refnis_parent_code,refnis_label_french,refnis_label_dutch,refnis_label_german,refnis_validity_start,refnis_validity_end,special_bucket,vote_sum_reconciles,bridge_safe_for_first_app_layer,reconciliation_status,method_note
2024,2024-06-09,21001,Anderlecht,Anderlecht,Anderlecht,Anderlecht,true,21001,21000,Anderlecht,Anderlecht,Anderlecht,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,21002,Auderghem,Auderghem,Oudergem,Auderghem,true,21002,21000,Auderghem,Oudergem,Auderghem,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,21003,Berchem-Sainte-Agathe,Berchem-Sainte-Agathe,Sint-Agatha-Berchem,Berchem-Sainte-Agathe,true,21003,21000,Berchem-Sainte-Agathe,Sint-Agatha-Berchem,Berchem-Sainte-Agathe,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,21004,Bruxelles,Bruxelles,Brussel,Brüssel,true,21004,21000,Bruxelles,Brussel,Brüssel,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,21005,Etterbeek,Etterbeek,Etterbeek,Etterbeek,true,21005,21000,Etterbeek,Etterbeek,Etterbeek,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,21006,Evere,Evere,Evere,Evere,true,21006,21000,Evere,Evere,Evere,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,21007,Forest,Forest,Vorst,Forest,true,21007,21000,Forest (Bruxelles-Capitale),Vorst (Brussel-Hoofdstad),Forest (Brüssel-Hauptstadt),01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,21008,Ganshoren,Ganshoren,Ganshoren,Ganshoren,true,21008,21000,Ganshoren,Ganshoren,Ganshoren,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,21009,Ixelles,Ixelles,Elsene,Ixelles,true,21009,21000,Ixelles,Elsene,Ixelles,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,21010,Jette,Jette,Jette,Jette,true,21010,21000,Jette,Jette,Jette,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,21011,Koekelberg,Koekelberg,Koekelberg,Koekelberg,true,21011,21000,Koekelberg,Koekelberg,Koekelberg,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,21012,Molenbeek-Saint-Jean,Molenbeek-Saint-Jean,Sint-Jans-Molenbeek,Molenbeek-Saint-Jean,true,21012,21000,Molenbeek-Saint-Jean,Sint-Jans-Molenbeek,Molenbeek-Saint-Jean,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,21013,Saint-Gilles,Saint-Gilles,Sint-Gillis,Saint-Gilles,true,21013,21000,Saint-Gilles,Sint-Gillis,Saint-Gilles,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,21014,Saint-Josse-ten-Noode,Saint-Josse-ten-Noode,Sint-Joost-ten-Node,Saint-Josse-ten-Noode,true,21014,21000,Saint-Josse-ten-Noode,Sint-Joost-ten-Node,Saint-Josse-ten-Noode,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,21015,Schaerbeek,Schaerbeek,Schaarbeek,Schaerbeek,true,21015,21000,Schaerbeek,Schaarbeek,Schaerbeek,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,21016,Uccle,Uccle,Ukkel,Uccle,true,21016,21000,Uccle,Ukkel,Uccle,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,21017,Watermael-Boitsfort,Watermael-Boitsfort,Watermaal-Bosvoorde,Watermael-Boitsfort,true,21017,21000,Watermael-Boitsfort,Watermaal-Bosvoorde,Watermael-Boitsfort,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,21018,Woluwe-Saint-Lambert,Woluwe-Saint-Lambert,Sint-Lambrechts-Woluwe,Woluwe-Saint-Lambert,true,21018,21000,Woluwe-Saint-Lambert,Sint-Lambrechts-Woluwe,Woluwe-Saint-Lambert,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,21019,Woluwe-Saint-Pierre,Woluwe-Saint-Pierre,Sint-Pieters-Woluwe,Woluwe-Saint-Pierre,true,21019,21000,Woluwe-Saint-Pierre,Sint-Pieters-Woluwe,Woluwe-Saint-Pierre,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,23098,Drogenbos,Drogenbos,Drogenbos,Drogenbos,true,23098,23000,Drogenbos,Drogenbos,Drogenbos,01/01/1970,31/12/9999,false,false,false,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,23099,Kraainem,Kraainem,Kraainem,Kraainem,true,23099,23000,Kraainem,Kraainem,Kraainem,01/01/1970,31/12/9999,false,false,false,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,23100,Linkebeek,Linkebeek,Linkebeek,Linkebeek,true,23100,23000,Linkebeek,Linkebeek,Linkebeek,01/01/1970,31/12/9999,false,false,false,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,23101,Rode-Saint-Genese,Rhode-Saint-Genèse,Sint-Genesius-Rode,Rhode-Saint-Genèse,true,23101,23000,Rhode-Saint-Genèse,Sint-Genesius-Rode,Sint-Genesius-Rode,01/01/1970,31/12/9999,false,false,false,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,23102,Wemmel,Wemmel,Wemmel,Wemmel,true,23102,23000,Wemmel,Wemmel,Wemmel,01/01/1970,31/12/9999,false,false,false,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,23103,Wezembeek-Oppem,Wezembeek-Oppem,Wezembeek-Oppem,Wezembeek-Oppem,true,23103,23000,Wezembeek-Oppem,Wezembeek-Oppem,Wezembeek-Oppem,01/01/1970,31/12/9999,false,false,false,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,21998,Bruxelles (E5),Bruxelles (E5),Brussel (E5),Bruxelles (E5),false,,,,,,,,true,true,false,blocked_special_bucket,IBZ E5 special bucket; not expected to appear as a REFNIS municipality.
2024,2024-06-09,23002,Asse,Asse,Asse,Asse,true,23002,23000,Asse,Asse,Asse,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,23003,Beersel,Beersel,Beersel,Beersel,true,23003,23000,Beersel,Beersel,Beersel,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,23009,Bever,Biévène,Bever,Biévène,true,23009,23000,Biévène,Bever,Bever,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,23016,Dilbeek,Dilbeek,Dilbeek,Dilbeek,true,23016,23000,Dilbeek,Dilbeek,Dilbeek,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,23023,Galmaarden,Gammerages,Galmaarden,Galmaarden,true,23023,23000,Gammerages,Galmaarden,Galmaarden,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,23024,Gooik,Gooik,Gooik,Gooik,true,23024,23000,Gooik,Gooik,Gooik,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,23025,Grimbergen,Grimbergen,Grimbergen,Grimbergen,true,23025,23000,Grimbergen,Grimbergen,Grimbergen,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,23027,Halle,Hal,Halle,Halle,true,23027,23000,Hal (Hal-Vilvorde),Halle (Halle-Vilvoorde),Halle (Halle-Vilvoorde),01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
2024,2024-06-09,23032,Herne,Herne,Herne,Herne,true,23032,23000,Herne,Herne,Herne,01/01/1970,31/12/9999,false,true,true,matched_refnis_2024,IBZ municipality code matches active Statbel REFNIS municipality on election date.
