election_year,election_date,public_geography_id,municipality,label_french,label_dutch,label_german,party,party_id,list_number,language_group,votes,valid_votes,blank_votes,share,vote_sum_reconciles,special_bucket,bridge_safe,source_scope
2024,2024-06-09,11038,Schelle,Schelle,Schelle,Schelle,DierAnimal,305916,19,Dutch,39,5883,205,0.6629,true,false,true,ibz_municipality_level
2024,2024-06-09,11038,Schelle,Schelle,Schelle,Schelle,Partij BLANCO,305969,20,Dutch,24,5883,205,0.408,true,false,true,ibz_municipality_level
2024,2024-06-09,11038,Schelle,Schelle,Schelle,Schelle,BELG.UNIE-BUB,303439,21,Dutch,2,5883,205,0.034,true,false,true,ibz_municipality_level
2024,2024-06-09,11039,Schilde,Schilde,Schilde,Schilde,VLAAMS BELANG,305802,1,Dutch,2439,13598,220,17.9365,true,false,true,ibz_municipality_level
2024,2024-06-09,11039,Schilde,Schilde,Schilde,Schilde,open vld,305803,3,Dutch,1206,13598,220,8.869,true,false,true,ibz_municipality_level
2024,2024-06-09,11039,Schilde,Schilde,Schilde,Schilde,Volt Europa,305966,5,Dutch,21,13598,220,0.1544,true,false,true,ibz_municipality_level
2024,2024-06-09,11039,Schilde,Schilde,Schilde,Schilde,PVDA,303048,8,Dutch,411,13598,220,3.0225,true,false,true,ibz_municipality_level
2024,2024-06-09,11039,Schilde,Schilde,Schilde,Schilde,Vooruit,305967,9,Dutch,751,13598,220,5.5229,true,false,true,ibz_municipality_level
2024,2024-06-09,11039,Schilde,Schilde,Schilde,Schilde,N-VA,303352,10,Dutch,6653,13598,220,48.9263,true,false,true,ibz_municipality_level
2024,2024-06-09,11039,Schilde,Schilde,Schilde,Schilde,GROEN,303164,15,Dutch,644,13598,220,4.736,true,false,true,ibz_municipality_level
2024,2024-06-09,11039,Schilde,Schilde,Schilde,Schilde,CD&V,303356,16,Dutch,1189,13598,220,8.7439,true,false,true,ibz_municipality_level
2024,2024-06-09,11039,Schilde,Schilde,Schilde,Schilde,Voor U,305968,17,Dutch,85,13598,220,0.6251,true,false,true,ibz_municipality_level
2024,2024-06-09,11039,Schilde,Schilde,Schilde,Schilde,DierAnimal,305916,19,Dutch,116,13598,220,0.8531,true,false,true,ibz_municipality_level
2024,2024-06-09,11039,Schilde,Schilde,Schilde,Schilde,Partij BLANCO,305969,20,Dutch,69,13598,220,0.5074,true,false,true,ibz_municipality_level
2024,2024-06-09,11039,Schilde,Schilde,Schilde,Schilde,BELG.UNIE-BUB,303439,21,Dutch,14,13598,220,0.103,true,false,true,ibz_municipality_level
2024,2024-06-09,11040,Schoten,Schoten,Schoten,Schoten,VLAAMS BELANG,305802,1,Dutch,5829,22704,615,25.6739,true,false,true,ibz_municipality_level
2024,2024-06-09,11040,Schoten,Schoten,Schoten,Schoten,open vld,305803,3,Dutch,965,22704,615,4.2504,true,false,true,ibz_municipality_level
2024,2024-06-09,11040,Schoten,Schoten,Schoten,Schoten,Volt Europa,305966,5,Dutch,59,22704,615,0.2599,true,false,true,ibz_municipality_level
2024,2024-06-09,11040,Schoten,Schoten,Schoten,Schoten,PVDA,303048,8,Dutch,1673,22704,615,7.3687,true,false,true,ibz_municipality_level
2024,2024-06-09,11040,Schoten,Schoten,Schoten,Schoten,Vooruit,305967,9,Dutch,1973,22704,615,8.6901,true,false,true,ibz_municipality_level
2024,2024-06-09,11040,Schoten,Schoten,Schoten,Schoten,N-VA,303352,10,Dutch,8206,22704,615,36.1434,true,false,true,ibz_municipality_level
2024,2024-06-09,11040,Schoten,Schoten,Schoten,Schoten,GROEN,303164,15,Dutch,1334,22704,615,5.8756,true,false,true,ibz_municipality_level
2024,2024-06-09,11040,Schoten,Schoten,Schoten,Schoten,CD&V,303356,16,Dutch,2184,22704,615,9.6195,true,false,true,ibz_municipality_level
2024,2024-06-09,11040,Schoten,Schoten,Schoten,Schoten,Voor U,305968,17,Dutch,126,22704,615,0.555,true,false,true,ibz_municipality_level
