election_year,public_geography_id,municipality,label_french,label_dutch,label_german,valid_votes,blank_votes,list_vote_sum,party_list_count,vote_sum_reconciles,special_bucket,duplicate_nis_code,audit_status
2024,23045,Londerzeel,Londerzeel,Londerzeel,Londerzeel,13124,490,13124,11,true,false,false,bridge_safe
2024,23047,Machelen,Machelen,Machelen,Machelen,8665,668,8665,11,true,false,false,bridge_safe
2024,23050,Meise,Meise,Meise,Meise,12749,527,12749,11,true,false,false,bridge_safe
2024,23052,Merchtem,Merchtem,Merchtem,Merchtem,11884,477,11884,11,true,false,false,bridge_safe
2024,23060,Opwijk,Opwijk,Opwijk,Opwijk,9968,392,9968,11,true,false,false,bridge_safe
2024,23062,Overijse,Overijse,Overijse,Overijse,14670,568,14670,11,true,false,false,bridge_safe
2024,23064,Pepingen,Pepingen,Pepingen,Pepingen,3192,116,3192,11,true,false,false,bridge_safe
2024,23077,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw,Sint-Pieters-Leeuw,19108,1521,19108,11,true,false,false,bridge_safe
2024,23081,Steenokkerzeel,Steenokkerzeel,Steenokkerzeel,Steenokkerzeel,8025,344,8025,11,true,false,false,bridge_safe
2024,23086,Ternat,Ternat,Ternat,Ternat,10848,450,10848,11,true,false,false,bridge_safe
2024,23088,Vilvoorde,Vilvorde,Vilvoorde,Vilvoorde,24227,1808,24227,11,true,false,false,bridge_safe
2024,23094,Zaventem,Zaventem,Zaventem,Zaventem,17468,1188,17468,11,true,false,false,bridge_safe
2024,23096,Zemst,Zemst,Zemst,Zemst,16091,546,16091,11,true,false,false,bridge_safe
2024,23097,Roosdaal,Roosdaal,Roosdaal,Roosdaal,8131,339,8131,11,true,false,false,bridge_safe
2024,23104,Lennik,Lennik,Lennik,Lennik,6344,231,6344,11,true,false,false,bridge_safe
2024,23105,Affligem,Affligem,Affligem,Affligem,9120,329,9120,11,true,false,false,bridge_safe
2024,24001,Aarschot,Aarschot,Aarschot,Aarschot,21424,1045,21424,11,true,false,false,bridge_safe
2024,24007,Begijnendijk,Begijnendijk,Begijnendijk,Begijnendijk,7711,360,7711,11,true,false,false,bridge_safe
2024,24008,Bekkevoort,Bekkevoort,Bekkevoort,Bekkevoort,4584,201,4584,11,true,false,false,bridge_safe
2024,24009,Bertem,Bertem,Bertem,Bertem,6676,223,6676,11,true,false,false,bridge_safe
2024,24011,Bierbeek,Bierbeek,Bierbeek,Bierbeek,7167,189,7167,11,true,false,false,bridge_safe
2024,24014,Boortmeerbeek,Boortmeerbeek,Boortmeerbeek,Boortmeerbeek,9003,298,9003,11,true,false,false,bridge_safe
2024,24016,Boutersem,Boutersem,Boutersem,Boutersem,5953,207,5953,11,true,false,false,bridge_safe
2024,24020,Diest,Diest,Diest,Diest,16784,817,16784,11,true,false,false,bridge_safe
2024,24028,Geetbets,Geetbets,Geetbets,Geetbets,4317,193,4317,11,true,false,false,bridge_safe
2024,24033,Haacht,Haacht,Haacht,Haacht,10654,418,10654,11,true,false,false,bridge_safe
2024,24038,Herent,Herent,Herent,Herent,15406,455,15406,11,true,false,false,bridge_safe
2024,24041,Hoegaarden,Hoegaarden,Hoegaarden,Hoegaarden,4749,204,4749,11,true,false,false,bridge_safe
2024,24043,Holsbeek,Holsbeek,Holsbeek,Holsbeek,7168,215,7168,11,true,false,false,bridge_safe
2024,24045,Huldenberg,Huldenberg,Huldenberg,Huldenberg,6491,262,6491,11,true,false,false,bridge_safe
2024,24048,Keerbergen,Keerbergen,Keerbergen,Keerbergen,9246,254,9246,11,true,false,false,bridge_safe
2024,24054,Kortenaken,Kortenaken,Kortenaken,Kortenaken,5718,287,5718,11,true,false,false,bridge_safe
2024,24055,Kortenberg,Kortenberg,Kortenberg,Kortenberg,12917,498,12917,11,true,false,false,bridge_safe
2024,24059,Landen,Landen,Landen,Landen,10719,688,10719,11,true,false,false,bridge_safe
2024,24062,Leuven,Louvain,Leuven,Löwen,59632,1562,59632,11,true,false,false,bridge_safe
2024,24066,Lubbeek,Lubbeek,Lubbeek,Lubbeek,10629,241,10629,11,true,false,false,bridge_safe
2024,24086,Oud-Heverlee,Oud-Heverlee,Oud-Heverlee,Oud-Heverlee,7837,194,7837,11,true,false,false,bridge_safe
2024,24094,Rotselaar,Rotselaar,Rotselaar,Rotselaar,12355,381,12355,11,true,false,false,bridge_safe
2024,24104,Tervuren,Tervuren,Tervuren,Tervuren,12134,450,12134,11,true,false,false,bridge_safe
2024,24107,Tienen,Tirlemont,Tienen,Tienen,22902,1372,22902,11,true,false,false,bridge_safe
2024,24109,Tremelo,Tremelo,Tremelo,Tremelo,10759,433,10759,11,true,false,false,bridge_safe
2024,24130,Zoutleeuw,Léau,Zoutleeuw,Zoutleeuw,6122,288,6122,11,true,false,false,bridge_safe
2024,24133,Linter,Linter,Linter,Linter,5224,232,5224,11,true,false,false,bridge_safe
2024,24134,Scherpenheuvel-Zichem,Scherpenheuvel-Zichem,Scherpenheuvel-Zichem,Scherpenheuvel-Zichem,16775,871,16775,11,true,false,false,bridge_safe
2024,24135,Tielt-Winge,Tielt-Winge,Tielt-Winge,Tielt-Winge,7982,352,7982,11,true,false,false,bridge_safe
2024,24137,Glabbeek,Glabbeek,Glabbeek,Glabbeek,3866,138,3866,11,true,false,false,bridge_safe
2024,24998,Louvain (E5),Louvain (E5),Leuven (E5),Louvain (E5),5871,483,5871,11,true,true,false,blocked_special_bucket
2024,25005,Beauvechain,Beauvechain,Bevekom,Beauvechain,4707,216,4707,14,true,false,false,bridge_safe
2024,25014,Braine-l'Alleud,Braine-l'Alleud,Braine-l'Alleud,Braine-l'Alleud,24106,1279,24106,14,true,false,false,bridge_safe
2024,25015,Braine-le-Chateau,Braine-le-Château,Kasteelbrakel,Braine-le-Château,6473,400,6473,14,true,false,false,bridge_safe
2024,25018,Chaumont-Gistoux,Chaumont-Gistoux,Chaumont-Gistoux,Chaumont-Gistoux,7854,281,7854,14,true,false,false,bridge_safe
2024,25023,Court-Saint-Etienne,Court-Saint-Etienne,Court-Saint-Etienne,Court-Saint-Etienne,6710,346,6710,14,true,false,false,bridge_safe
2024,25031,Genappe,Genappe,Genepiën,Genappe,10159,536,10159,14,true,false,false,bridge_safe
2024,25037,Grez-Doiceau,Grez-Doiceau,Graven,Grez-Doiceau,8781,390,8781,14,true,false,false,bridge_safe
2024,25043,Incourt,Incourt,Incourt,Incourt,3572,196,3572,14,true,false,false,bridge_safe
2024,25044,Ittre,Ittre,Itter,Ittre,4097,255,4097,14,true,false,false,bridge_safe
2024,25048,Jodoigne,Jodoigne,Geldenaken,Jodoigne,9108,636,9108,14,true,false,false,bridge_safe
2024,25050,La Hulpe,La Hulpe,Terhulpen,La Hulpe,4353,164,4353,14,true,false,false,bridge_safe
2024,25068,Mont-Saint-Guibert,Mont-Saint-Guibert,Mont-Saint-Guibert,Mont-Saint-Guibert,5422,261,5422,14,true,false,false,bridge_safe
2024,25072,Nivelles,Nivelles,Nijvel,Nivelles,18296,1087,18296,14,true,false,false,bridge_safe
2024,25084,Perwez,Perwez,Perwijs,Perwez,6217,383,6217,14,true,false,false,bridge_safe
2024,25091,Rixensart,Rixensart,Rixensart,Rixensart,13982,545,13982,14,true,false,false,bridge_safe
2024,25105,Tubize,Tubize,Tubeke,Tubize,14536,1343,14536,14,true,false,false,bridge_safe
2024,25107,Villers-la-Ville,Villers-la-Ville,Villers-la-Ville,Villers-la-Ville,7233,310,7233,14,true,false,false,bridge_safe
2024,25110,Waterloo,Waterloo,Waterloo,Waterloo,17044,694,17044,14,true,false,false,bridge_safe
2024,25112,Wavre,Wavre,Waver,Wavre,20697,1287,20697,14,true,false,false,bridge_safe
2024,25117,Chastre,Chastre,Chastre,Chastre,5104,224,5104,14,true,false,false,bridge_safe
2024,25118,Helecine,Hélécine,Hélécine,Hélécine,2367,196,2367,14,true,false,false,bridge_safe
2024,25119,Lasne,Lasne,Lasne,Lasne,9124,223,9124,14,true,false,false,bridge_safe
2024,25120,Orp-Jauche,Orp-Jauche,Orp-Jauche,Orp-Jauche,5765,400,5765,14,true,false,false,bridge_safe
2024,25121,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve,Ottignies-Louvain-la-Neuve,18718,914,18718,14,true,false,false,bridge_safe
2024,25122,Ramillies,Ramillies,Ramillies,Ramillies,4360,226,4360,14,true,false,false,bridge_safe
2024,25123,Rebecq,Rebecq,Rebecq,Rebecq,6511,456,6511,14,true,false,false,bridge_safe
2024,25124,Walhain,Walhain,Walhain,Walhain,5018,197,5018,14,true,false,false,bridge_safe
2024,25998,Nivelles (E5),Nivelles (E5),Nivelles (E5),Nivelles (E5),4830,272,4830,14,true,true,false,blocked_special_bucket
2024,30998,Bruges (E5),Bruges (E5),Brugge (E5),Bruges (E5),6380,264,6380,9,true,true,false,blocked_special_bucket
2024,31003,Beernem,Beernem,Beernem,Beernem,11257,477,11257,9,true,false,false,bridge_safe
2024,31004,Blankenberge,Blankenberge,Blankenberge,Blankenberge,13758,840,13758,9,true,false,false,bridge_safe
2024,31005,Brugge,Bruges,Brugge,Brügge,79708,3030,79708,9,true,false,false,bridge_safe
2024,31006,Damme,Damme,Damme,Damme,7796,401,7796,9,true,false,false,bridge_safe
2024,31012,Jabbeke,Jabbeke,Jabbeke,Jabbeke,10752,340,10752,9,true,false,false,bridge_safe
2024,31022,Oostkamp,Oostkamp,Oostkamp,Oostkamp,16932,691,16932,9,true,false,false,bridge_safe
2024,31033,Torhout,Torhout,Torhout,Torhout,14298,749,14298,9,true,false,false,bridge_safe
2024,31040,Zedelgem,Zedelgem,Zedelgem,Zedelgem,16427,768,16427,9,true,false,false,bridge_safe
2024,31042,Zuienkerke,Zuienkerke,Zuienkerke,Zuienkerke,1998,67,1998,9,true,false,false,bridge_safe
2024,31043,Knokke-Heist,Knokke-Heist,Knokke-Heist,Knokke-Heist,21875,728,21875,9,true,false,false,bridge_safe
2024,32003,Diksmuide,Dixmude,Diksmuide,Dixmuide,11748,585,11748,9,true,false,false,bridge_safe
2024,32006,Houthulst,Houthulst,Houthulst,Houthulst,6821,435,6821,9,true,false,false,bridge_safe
